"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2025","57.67","57.00","58.70","56.50","22.14M","-0.07%"
"09/18/2025","57.71","58.81","58.81","57.00","21.17M","-1.87%"
"09/17/2025","58.81","59.59","59.94","58.11","21.31M","-0.88%"
"09/16/2025","59.33","60.75","61.00","58.60","27.82M","-1.95%"
"09/15/2025","60.51","59.00","61.02","57.50","34.71M","2.73%"
"09/12/2025","58.90","58.00","59.34","56.16","37.53M","1.59%"
"09/11/2025","57.98","58.55","59.00","56.56","34.61M","-2.32%"
"09/10/2025","59.36","59.80","60.79","57.40","40.06M","-0.79%"
"09/09/2025","59.83","60.85","62.00","57.13","30.95M","-0.52%"
"09/08/2025","60.14","60.40","64.35","59.90","330.27M","0.37%"
"09/05/2025","59.92","64.10","64.72","59.32","475.35M","-7.10%"
"09/04/2025","64.50","69.49","71.25","63.71","747.22M","-6.51%"
"09/03/2025","68.99","62.44","70.25","61.15","1.04B","11.35%"
"09/02/2025","61.96","64.01","65.45","61.63","763.53M","-0.83%"
"09/01/2025","62.48","55.20","63.79","54.50","1.08B","15.60%"
"08/29/2025","54.05","55.31","57.50","53.71","496.97M","-1.44%"
"08/28/2025","54.84","51.15","56.22","51.15","779.43M","7.91%"
"08/26/2025","50.82","48.54","51.80","47.81","471.16M","4.63%"
"08/25/2025","48.57","47.49","49.40","46.65","262.02M","2.92%"
"08/22/2025","47.19","49.00","49.75","46.86","268.23M","-3.32%"
"08/21/2025","48.81","53.98","54.60","48.50","564.36M","-8.27%"
"08/20/2025","53.21","45.40","53.79","45.40","1.11B","18.69%"
"08/19/2025","44.83","41.56","45.70","41.40","583.19M","8.71%"
"08/18/2025","41.24","43.00","43.03","40.83","94.67M","-0.17%"
"08/14/2025","41.31","40.80","43.00","40.52","184.22M","2.00%"
"08/13/2025","40.50","40.01","42.20","39.91","106.67M","1.71%"
"08/12/2025","39.82","40.00","40.50","39.70","19.82M","-0.05%"
"08/11/2025","39.84","40.34","40.80","39.70","25.53M","-0.72%"
"08/08/2025","40.13","40.40","40.75","40.05","19.72M","-0.32%"
"08/07/2025","40.26","40.24","40.55","39.75","28.36M","-0.12%"
"08/06/2025","40.31","41.10","41.20","40.15","23.07M","-1.37%"
"08/05/2025","40.87","41.01","41.34","40.72","21.14M","0.05%"
"08/04/2025","40.85","40.64","41.93","40.37","43.86M","0.74%"
"08/01/2025","40.55","41.50","42.02","40.02","44.53M","-1.84%"
"07/31/2025","41.31","41.65","42.05","41.05","32.58M","-2.02%"
"07/30/2025","42.16","41.85","42.49","41.60","46.74M","1.08%"
"07/29/2025","41.71","41.45","42.34","40.92","65.13M","1.02%"
"07/28/2025","41.29","41.13","43.35","40.72","147.25M","0.15%"
"07/25/2025","41.23","42.58","42.58","41.06","40.11M","-3.22%"
"07/24/2025","42.60","42.95","44.35","42.34","136.15M","-1.05%"
"07/23/2025","43.05","40.35","43.95","39.90","255.81M","7.17%"
"07/22/2025","40.17","40.90","41.28","40.01","44.10M","-1.40%"
"07/21/2025","40.74","41.31","41.59","40.57","44.98M","-1.38%"
"07/18/2025","41.31","42.31","42.33","41.05","51.26M","-2.02%"
"07/17/2025","42.16","42.39","43.85","41.42","168.36M","-0.31%"
"07/16/2025","42.29","44.48","44.48","41.94","183.43M","-4.10%"
"07/15/2025","44.10","48.40","48.90","43.60","418.94M","-6.31%"
"07/14/2025","47.07","39.92","47.76","39.60","597.33M","18.27%"
"07/11/2025","39.80","40.00","40.34","39.62","28.63M","-0.38%"
"07/10/2025","39.95","40.51","40.63","39.82","25.76M","-1.06%"
"07/09/2025","40.38","41.01","41.26","40.12","24.64M","-0.93%"
"07/08/2025","40.76","41.56","41.61","40.70","21.38M","-1.85%"
"07/07/2025","41.53","41.86","41.96","41.01","20.95M","-0.48%"
"07/04/2025","41.73","40.66","42.59","40.46","85.83M","2.76%"
"07/03/2025","40.61","41.20","41.75","40.40","58.66M","-1.10%"
"07/02/2025","41.06","42.40","42.59","40.81","37.90M","-2.28%"
"07/01/2025","42.02","43.43","44.10","41.82","39.20M","-2.64%"
"06/30/2025","43.16","43.30","43.49","43.05","20.48M","0.16%"
"06/27/2025","43.09","43.24","44.35","43.00","41.01M","-0.16%"
"06/26/2025","43.16","43.54","43.60","43.01","16.26M","-0.23%"
"06/25/2025","43.26","43.90","44.12","43.18","23.96M","-0.76%"
"06/24/2025","43.59","44.00","44.85","43.48","38.88M","0.60%"
"06/23/2025","43.33","45.85","45.85","43.16","94.73M","-5.97%"
"06/20/2025","46.08","45.70","46.30","45.52","15.06M","1.34%"
"06/19/2025","45.47","46.15","46.58","45.05","21.70M","-1.41%"
"06/18/2025","46.12","46.51","46.70","46.01","11.82M","-0.84%"
"06/17/2025","46.51","46.94","47.56","46.37","13.43M","-0.49%"
"06/16/2025","46.74","47.07","47.43","45.94","14.96M","-0.49%"
"06/13/2025","46.97","46.40","47.12","46.32","17.13M","-0.61%"
"06/12/2025","47.26","48.45","48.78","47.10","23.75M","-2.40%"
"06/11/2025","48.42","49.23","49.36","48.07","20.52M","-1.20%"
"06/10/2025","49.01","49.67","50.07","48.95","17.57M","-0.53%"
"06/09/2025","49.27","48.92","49.69","48.90","20.63M","1.23%"
"06/06/2025","48.67","49.36","49.40","48.57","19.21M","-0.75%"
"06/05/2025","49.04","50.45","50.45","48.81","33.10M","-1.90%"
"06/04/2025","49.99","49.90","50.40","48.80","38.45M","1.34%"
"06/03/2025","49.33","52.00","52.00","49.05","277.61M","-8.10%"
"06/02/2025","53.68","50.50","54.40","49.70","86.12M","5.34%"
"05/30/2025","50.96","48.24","51.25","48.06","70.82M","-4.28%"
"05/29/2025","53.24","52.91","53.68","52.30","22.07M","0.62%"
"05/28/2025","52.91","52.60","53.60","52.54","18.66M","0.78%"
"05/27/2025","52.50","52.55","53.19","52.16","17.77M","-0.04%"
"05/26/2025","52.52","52.90","53.61","52.30","17.87M","-0.74%"
"05/23/2025","52.91","51.56","55.28","51.01","68.35M","2.80%"
"05/22/2025","51.47","51.02","51.77","50.82","12.46M","0.18%"
"05/21/2025","51.38","51.50","51.75","50.75","12.62M","0.51%"
"05/20/2025","51.12","52.88","53.02","51.00","16.81M","-2.74%"
"05/19/2025","52.56","52.21","54.10","52.12","27.00M","0.84%"
"05/16/2025","52.12","52.30","53.67","51.66","25.15M","0.08%"
"05/15/2025","52.08","51.80","52.63","51.52","18.98M","0.87%"
"05/14/2025","51.63","50.20","51.97","49.86","29.80M","3.07%"
"05/13/2025","50.09","49.65","50.70","48.98","19.46M","0.89%"
"05/12/2025","49.65","49.00","49.90","48.50","18.88M","6.39%"
"05/09/2025","46.67","46.00","46.95","45.89","15.65M","-1.95%"
"05/08/2025","47.60","48.49","49.18","47.15","16.35M","-0.81%"
"05/07/2025","47.99","47.00","48.25","46.40","22.18M","-0.10%"
"05/06/2025","48.04","49.24","49.84","47.90","14.37M","-2.44%"
"05/05/2025","49.24","48.89","49.40","48.15","14.79M","1.38%"
"05/02/2025","48.57","48.69","49.32","48.11","17.34M","-0.25%"
"04/30/2025","48.69","50.19","50.35","48.01","18.94M","-2.99%"
"04/29/2025","50.19","50.10","50.79","49.26","27.31M","1.29%"
"04/28/2025","49.55","49.70","50.35","48.41","30.95M","-0.62%"
"04/25/2025","49.86","52.50","52.69","49.56","50.64M","-4.87%"
"04/24/2025","52.41","52.55","54.44","52.30","42.81M","-0.27%"
"04/23/2025","52.55","53.46","53.59","50.86","58.22M","-1.00%"
"04/22/2025","53.08","52.97","53.97","52.24","30.69M","0.38%"
"04/21/2025","52.88","50.57","53.57","50.45","67.05M","5.30%"
"04/17/2025","50.22","50.35","50.70","50.10","20.60M","0.02%"
"04/16/2025","50.21","50.50","52.78","50.00","58.07M","-0.12%"
"04/15/2025","50.27","51.25","51.65","50.06","33.94M","0.14%"
"04/11/2025","50.20","51.59","51.70","49.90","22.51M","0.18%"
"04/09/2025","50.11","51.21","51.30","49.79","18.71M","-1.51%"
"04/08/2025","50.88","52.49","52.87","50.02","38.48M","0.22%"
"04/07/2025","50.77","45.35","51.75","45.35","37.90M","-3.26%"
"04/04/2025","52.48","53.50","53.81","51.56","23.20M","-2.89%"
"04/03/2025","54.04","53.00","54.48","53.00","22.39M","-0.06%"
"04/02/2025","54.07","52.75","54.22","51.83","33.54M","2.58%"
"04/01/2025","52.71","52.81","54.40","52.55","33.29M","-0.64%"
"03/28/2025","53.05","55.10","55.70","52.62","38.03M","-3.72%"
"03/27/2025","55.10","51.83","55.60","51.58","83.18M","6.49%"
"03/26/2025","51.74","54.00","54.98","51.35","49.18M","-4.40%"
"03/25/2025","54.12","57.50","57.73","53.57","57.33M","-2.89%"
"03/24/2025","55.73","57.56","58.43","54.86","65.53M","-0.61%"
"03/21/2025","56.07","51.71","56.87","51.27","189.12M","8.43%"
"03/20/2025","51.71","54.11","54.43","51.40","55.92M","-3.97%"
"03/19/2025","53.85","52.97","55.80","52.91","125.14M","2.05%"
"03/18/2025","52.77","46.37","54.37","46.37","190.18M","12.44%"
"03/17/2025","46.93","49.98","50.24","46.40","66.01M","-7.09%"
"03/13/2025","50.51","51.50","51.78","50.30","23.28M","-1.08%"
"03/12/2025","51.06","51.10","52.55","50.78","29.80M","0.29%"
"03/11/2025","50.91","53.00","53.12","50.67","34.49M","-5.46%"
"03/10/2025","53.85","56.36","56.73","53.25","25.19M","-4.74%"
"03/07/2025","56.53","56.37","57.64","55.84","22.30M","0.28%"
"03/06/2025","56.37","58.26","58.95","56.05","36.04M","-1.00%"
"03/05/2025","56.94","55.50","57.38","55.41","21.42M","1.79%"
"03/04/2025","55.94","54.03","56.75","53.62","22.92M","1.49%"
"03/03/2025","55.12","58.00","58.07","53.71","28.88M","-3.01%"
"02/28/2025","56.83","55.99","57.70","55.68","54.34M","-0.16%"
"02/27/2025","56.92","59.98","59.98","56.37","19.87M","-4.13%"
"02/25/2025","59.37","59.89","60.60","59.11","13.93M","-0.59%"
"02/24/2025","59.72","60.00","60.38","58.89","18.19M","-1.94%"
"02/21/2025","60.90","61.70","63.10","60.56","19.44M","-1.31%"
"02/20/2025","61.71","60.24","62.70","59.81","26.48M","1.92%"
"02/19/2025","60.55","59.40","61.60","58.58","27.18M","0.46%"
"02/18/2025","60.27","60.60","61.65","58.80","25.50M","-1.66%"
"02/17/2025","61.29","60.95","62.11","59.29","36.04M","0.69%"
"02/14/2025","60.87","64.56","64.80","60.15","35.13M","-5.30%"
"02/13/2025","64.28","65.00","66.12","63.81","24.48M","-0.53%"
"02/12/2025","64.62","65.50","65.60","63.30","37.54M","-0.98%"
"02/11/2025","65.26","67.90","67.90","64.36","28.38M","-3.46%"
"02/10/2025","67.60","68.91","68.97","67.16","27.92M","-3.39%"
"02/07/2025","69.97","72.11","72.30","68.30","36.40M","-2.60%"
"02/06/2025","71.84","74.60","74.99","71.56","22.28M","-3.70%"
"02/05/2025","74.60","76.98","77.00","73.51","23.58M","-0.33%"
"02/04/2025","74.85","74.20","75.46","73.72","22.87M","2.42%"
"02/03/2025","73.08","74.51","76.47","72.37","45.90M","-1.68%"
"02/01/2025","74.33","75.99","80.80","73.66","85.43M","-0.63%"
"01/31/2025","74.80","67.85","76.53","67.62","116.62M","11.99%"
"01/30/2025","66.79","66.71","68.47","66.29","20.58M","1.23%"
"01/29/2025","65.98","65.82","68.31","65.24","26.43M","1.26%"
"01/28/2025","65.16","68.16","68.79","64.60","31.30M","-4.29%"
"01/27/2025","68.08","70.10","70.44","67.50","22.70M","-4.57%"
"01/24/2025","71.34","73.34","73.75","71.00","14.30M","-2.93%"
"01/23/2025","73.49","74.79","74.79","73.17","11.53M","-1.10%"
"01/22/2025","74.31","76.60","76.89","73.80","15.52M","-2.53%"
"01/21/2025","76.24","77.14","78.78","76.01","27.33M","-0.12%"
"01/20/2025","76.33","75.00","77.00","74.33","15.29M","2.58%"
"01/17/2025","74.41","74.50","75.18","73.91","13.40M","-0.53%"
"01/16/2025","74.81","75.00","75.48","74.01","16.45M","2.13%"
"01/15/2025","73.25","73.90","75.60","72.10","28.97M","0.51%"
"01/14/2025","72.88","71.50","73.47","70.39","34.10M","3.85%"
"01/13/2025","70.18","71.00","72.83","70.00","32.63M","-4.37%"
"01/10/2025","73.39","75.50","76.50","72.70","38.61M","-3.00%"
"01/09/2025","75.66","79.40","79.60","75.27","24.97M","-4.84%"
"01/08/2025","79.51","77.00","80.15","75.16","61.61M","0.44%"
"01/07/2025","79.16","78.90","81.18","78.55","30.77M","1.55%"
"01/06/2025","77.95","82.80","83.10","77.50","33.40M","-5.76%"
"01/03/2025","82.71","84.70","85.11","82.26","30.98M","-2.36%"
"01/02/2025","84.71","86.24","88.59","83.58","37.56M","-1.75%"
"01/01/2025","86.22","86.40","86.67","85.25","16.27M","0.57%"
"12/31/2024","85.73","85.19","87.64","84.87","29.58M","0.78%"
"12/30/2024","85.07","87.10","88.08","84.50","37.61M","-5.40%"
"12/27/2024","89.93","93.85","94.25","88.51","37.60M","-3.87%"
"12/26/2024","93.55","97.00","99.95","93.10","69.59M","-0.46%"
"12/24/2024","93.98","93.40","95.66","92.78","22.49M","1.39%"
"12/23/2024","92.69","93.97","95.24","92.10","30.47M","-1.05%"
"12/20/2024","93.67","95.60","97.83","92.13","38.32M","-1.52%"
"12/19/2024","95.12","94.00","96.39","93.15","26.29M","-1.35%"
"12/18/2024","96.42","97.95","98.20","94.80","37.71M","-1.04%"
"12/17/2024","97.43","97.30","100.40","96.91","47.46M","0.65%"
"12/16/2024","96.80","93.81","99.62","93.56","67.36M","3.19%"
"12/13/2024","93.81","93.50","94.88","93.00","29.24M","-0.19%"
"12/12/2024","93.99","96.12","96.60","93.75","24.83M","-2.22%"
"12/11/2024","96.12","94.89","98.13","93.01","66.95M","1.64%"
"12/10/2024","94.57","92.25","95.50","92.23","50.85M","2.51%"
"12/09/2024","92.25","96.40","97.00","91.50","40.58M","-3.82%"
"12/06/2024","95.91","96.90","98.30","95.25","48.47M","-2.65%"
"12/05/2024","98.52","98.73","100.20","95.48","76.87M","0.16%"
"12/04/2024","98.36","98.75","102.50","97.61","133.84M","-0.18%"
"12/03/2024","98.54","94.09","101.78","92.51","236.99M","5.63%"
"12/02/2024","93.29","84.11","94.47","81.20","168.06M","6.73%"
"11/29/2024","87.41","92.15","92.49","86.70","76.16M","-6.00%"
"11/28/2024","92.99","90.65","94.50","88.77","186.60M","5.55%"
"11/27/2024","88.10","77.70","88.10","75.26","244.70M","19.99%"
"11/26/2024","73.42","69.58","74.80","69.58","57.39M","5.52%"
"11/25/2024","69.58","70.55","72.30","69.30","21.41M","0.64%"
"11/22/2024","69.14","67.21","69.74","66.66","28.73M","2.87%"
"11/21/2024","67.21","69.50","69.70","66.86","29.12M","-3.04%"
"11/19/2024","69.32","68.99","71.18","68.99","22.43M","0.57%"
"11/18/2024","68.93","70.00","70.90","68.10","38.57M","-1.70%"
"11/14/2024","70.12","71.04","71.88","69.54","34.17M","-1.17%"
"11/13/2024","70.95","73.80","74.19","70.55","29.80M","-4.50%"
"11/12/2024","74.29","75.20","76.65","73.71","36.93M","-0.05%"
"11/11/2024","74.33","72.72","77.60","70.55","99.00M","2.21%"
"11/08/2024","72.72","74.92","74.99","72.60","30.13M","-2.47%"
"11/07/2024","74.56","75.00","78.25","74.07","55.66M","0.22%"
"11/06/2024","74.40","75.41","75.43","73.50","51.88M","0.30%"
"11/05/2024","74.18","80.04","80.29","73.84","89.68M","-8.24%"
"11/04/2024","80.84","84.45","84.80","79.61","30.67M","-2.41%"
"11/01/2024","82.84","82.39","83.65","82.01","7.90M","2.42%"
"10/31/2024","80.88","80.00","83.25","79.16","34.10M","1.32%"
"10/30/2024","79.83","76.32","80.67","75.08","47.42M","4.60%"
"10/29/2024","76.32","77.70","78.50","74.84","29.30M","-1.64%"
"10/28/2024","77.59","77.99","80.50","77.12","31.80M","0.39%"
"10/25/2024","77.29","80.05","80.49","76.73","22.42M","-3.39%"
"10/24/2024","80.00","81.81","82.10","79.77","17.91M","-2.15%"
"10/23/2024","81.76","81.20","83.00","79.15","33.12M","0.84%"
"10/22/2024","81.08","83.98","85.29","80.50","41.67M","-0.70%"
"10/21/2024","81.65","87.19","87.48","81.00","34.97M","-6.10%"
"10/18/2024","86.95","85.75","88.00","85.02","25.52M","-0.71%"
"10/17/2024","87.57","89.39","90.00","87.20","16.58M","-1.79%"
"10/16/2024","89.17","90.00","90.39","88.62","20.03M","-0.38%"
"10/15/2024","89.51","88.79","91.87","88.65","56.88M","2.34%"
"10/14/2024","87.46","90.00","90.50","87.15","36.29M","-3.04%"
"10/11/2024","90.20","91.00","92.25","89.66","34.32M","-0.65%"
"10/10/2024","90.79","94.00","95.17","90.00","49.22M","-5.21%"
"10/09/2024","95.78","95.32","98.69","93.79","57.07M","0.39%"
"10/08/2024","95.41","86.00","96.78","86.00","113.35M","5.05%"
"10/07/2024","90.82","99.90","100.00","89.55","90.11M","-8.31%"
"10/04/2024","99.05","100.00","100.00","95.39","43.65M","-0.21%"
"10/03/2024","99.26","100.00","102.19","99.00","27.99M","-3.27%"
"10/01/2024","102.62","100.00","103.49","99.15","61.23M","3.01%"
"09/30/2024","99.62","101.71","102.38","97.84","51.88M","-2.51%"
"09/27/2024","102.18","104.60","104.87","101.00","36.45M","-1.27%"
"09/26/2024","103.49","105.79","106.34","102.30","31.14M","0.46%"
"09/25/2024","103.02","105.37","107.50","101.40","54.74M","-0.99%"
"09/24/2024","104.05","108.15","109.90","103.42","52.94M","-3.79%"
"09/23/2024","108.15","112.00","112.40","107.50","30.25M","-2.56%"
"09/20/2024","110.99","113.00","113.95","110.40","26.66M","-0.61%"
"09/19/2024","111.67","116.70","117.49","109.50","61.44M","-4.51%"
"09/18/2024","116.95","118.00","123.90","116.10","118.68M","-0.86%"
"09/17/2024","117.96","112.95","118.36","110.26","163.40M","9.63%"
"09/16/2024","107.60","112.00","112.18","106.90","27.17M","-3.57%"
"09/13/2024","111.58","112.70","114.25","111.00","18.10M","-0.94%"
"09/12/2024","112.64","114.60","115.49","111.44","33.77M","-0.34%"
"09/11/2024","113.02","115.49","116.50","109.86","44.90M","-2.15%"
"09/10/2024","115.50","114.80","119.00","113.39","51.11M","0.80%"
"09/09/2024","114.58","110.00","116.20","103.50","93.62M","4.57%"
"09/06/2024","109.57","111.10","115.05","109.00","58.56M","-4.85%"
"09/05/2024","115.16","111.36","119.17","110.33","88.50M","3.94%"
"09/04/2024","110.80","112.55","115.00","109.80","30.26M","-2.37%"
"09/03/2024","113.49","114.00","119.30","112.66","34.11M","-1.25%"
"09/02/2024","114.93","118.50","119.95","114.00","32.10M","-2.54%"
"08/30/2024","117.93","121.30","122.97","117.11","39.36M","-1.95%"
"08/29/2024","120.28","125.95","126.99","119.60","32.24M","-4.30%"
"08/28/2024","125.69","128.70","129.19","125.00","36.06M","-1.44%"
"08/27/2024","127.53","126.00","131.00","125.75","62.97M","1.78%"
"08/26/2024","125.30","123.43","132.70","118.60","162.42M","-0.76%"
"08/23/2024","126.26","131.00","132.47","125.55","58.94M","-3.85%"
"08/22/2024","131.32","139.00","139.00","126.05","107.21M","-4.88%"
"08/21/2024","138.05","143.00","143.50","135.22","113.02M","0.19%"
"08/20/2024","137.79","153.80","157.40","132.65","309.14M","-5.87%"
"08/19/2024","146.38","139.39","146.38","136.00","192.36M","9.99%"
"08/16/2024","133.08","121.00","133.08","117.00","338.76M","20.00%"
"08/14/2024","110.90","110.00","113.40","100.36","160.54M","2.52%"
"08/13/2024","108.17","120.98","129.40","105.21","365.04M","-1.16%"
"08/12/2024","109.44","97.00","109.44","95.00","210.30M","20.00%"